timestamp_ms,ear,pitch,yaw,roll,label
1776974027771,0.31754,-8.06202,-16.38753,5.16284,Distracted
1776974027892,0.33104,2.78629,-16.81925,7.67739,Distracted
1776974028035,0.38428,-4.46533,-16.34778,5.50022,Distracted
1776974028305,0.33321,4.34782,-19.26044,9.72922,Distracted
1776974028496,0.32299,1.22897,-22.99439,14.08870,Distracted
1776974028622,0.26712,-3.16452,-31.35940,14.17048,Distracted
1776974028747,0.29963,-27.05587,-19.69169,2.94771,Distracted
1776974028873,0.19251,-8.78996,-29.99890,9.59827,Distracted
1776974029012,0.24493,-4.38781,-33.60946,10.03121,Distracted
1776974029139,0.26428,-8.28175,-32.65932,8.65482,Distracted
1776974029263,0.28698,-32.40190,-23.79027,-3.62302,Distracted
1776974029388,0.26358,-34.41864,-17.81127,-1.23120,Distracted
1776974029641,0.35414,-4.89699,-31.45349,11.47796,Distracted
1776974029811,0.34374,-27.11191,-28.82354,1.03720,Distracted
1776974029951,0.17065,-25.10950,-32.77695,0.00703,Distracted
1776974034627,0.23355,3.43542,24.49278,-22.58907,Distracted
1776974034751,0.16215,-3.51367,14.26182,-17.22479,Distracted
1776974034861,0.25605,-16.00318,-0.68886,-8.21256,Distracted
1776974034969,0.17640,-20.99740,-8.39170,-4.31410,Distracted
1776974035077,0.13333,-22.49295,-8.65772,-3.93564,Distracted
1776974035189,0.15647,-21.20210,-13.02722,-1.41474,Distracted
1776974035297,0.25976,-15.67816,-21.96343,2.12306,Distracted
1776974035436,0.30869,-27.03496,-25.32618,-2.15230,Distracted
1776974035562,0.19726,-24.83146,-30.32369,-1.48888,Distracted
1776974035672,0.21518,-2.35210,-40.48719,15.06552,Distracted
1776974035783,0.24643,-31.57617,-35.06249,-1.12528,Distracted
1776974035895,0.18043,-5.91026,-41.49894,15.13421,Distracted
1776974036004,0.16745,-1.31563,-43.67129,18.77827,Distracted
1776974036113,0.19075,3.91270,-45.82334,18.94700,Distracted
1776974036223,0.22140,4.16903,-46.21221,18.87643,Distracted
1776974036334,0.27653,3.52252,-47.87814,19.71402,Distracted
1776974036442,0.38995,4.67544,-50.32532,23.28192,Distracted
1776974036554,0.21081,-28.87374,-40.96558,-2.68151,Distracted
1776974037192,0.44013,-35.25625,-58.69681,6.91019,Distracted
1776974038173,0.34822,-22.92806,-32.24396,-0.25072,Distracted
1776974038297,0.24224,-10.53242,-27.77995,4.84563,Distracted
1776974038407,0.24907,-13.94185,-15.81009,-0.14461,Distracted
1776974038515,0.22181,-19.66711,-6.39577,-3.22842,Distracted
1776974038639,0.15772,-19.00899,-4.59975,-2.84232,Distracted
1776974038750,0.15207,-16.52131,4.43667,-7.32459,Distracted
1776974038858,0.13752,-10.27627,11.19336,-10.78911,Distracted
1776974038967,0.15331,-7.59192,20.17078,-14.40303,Distracted
1776974039076,0.14439,-6.79086,23.24925,-14.90763,Distracted
1776974039453,0.16725,-4.28597,28.52131,-24.46211,Distracted
1776974039669,0.15175,6.27651,18.64018,-24.07903,Distracted
1776974039793,0.32961,-9.21767,39.71148,-16.23322,Distracted
1776974039915,0.34443,-9.89926,41.41542,-14.24148,Distracted
1776974040039,0.33091,-9.05655,41.14050,-13.86057,Distracted
1776974040182,0.32490,0.48631,14.05282,-17.73347,Distracted
1776974040323,0.31604,-4.83830,7.84721,-15.67723,Distracted
1776974040463,0.27279,-8.61983,-20.37044,-13.37017,Distracted
1776974040589,0.37323,-12.15922,-25.77268,-14.72162,Distracted
